Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho;;;;;
OMP;8;32;0,000633;0,000078;0,000717;;;;;;;;;;
OMP;8;32;0,004862;0,000068;0,004935;;;;;;;;;;
OMP;8;32;0,000254;0,000055;0,000315;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;8;64;0,00415;0,000125;0,00428;0,003583;;;;;;;;;
OMP;8;64;0,000698;0,002359;0,003063;;;;;;;;;;
OMP;8;64;0,002799;0,000161;0,002966;;;;;;;;;;
OMP;8;64;0,004819;0,000136;0,00496;;;;;;;;;;
OMP;8;64;0,010406;0,000138;0,01055;;;;;;;;;;
OMP;8;64;0,000742;0,00014;0,000887;;;;;;;;;;
OMP;8;64;0,00069;0,000116;0,000811;;;;;;;;;;
OMP;8;64;0,010118;0,000136;0,01026;;;;;;;;;;
OMP;8;64;0,000706;0,002303;0,003015;;;;;;;;;;
OMP;8;64;0,0007;0,000131;0,000838;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;8;128;0,00712;0,00036;0,007485;0,004584;;;;;;;;;
OMP;8;128;0,002499;0,000355;0,00286;;;;;;;;;;
OMP;8;128;0,006395;0,000362;0,006763;;;;;;;;;;
OMP;8;128;0,003166;0,000362;0,003534;;;;;;;;;;
OMP;8;128;0,002999;0,001794;0,004806;;;;;;;;;;
OMP;8;128;0,002486;0,000358;0,00285;;;;;;;;;;
OMP;8;128;0,007177;0,000393;0,007576;;;;;;;;;;
OMP;8;128;0,003956;0,000376;0,004338;;;;;;;;;;
OMP;8;128;0,007196;0,000408;0,00761;;;;;;;;;;
OMP;8;128;0,00285;0,000404;0,00326;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;8;256;0,019733;0,001593;0,021334;0,018720;;;;;;;;;
OMP;8;256;0,01911;0,001466;0,020584;;;;;;;;;;
OMP;8;256;0,022938;0,002048;0,024995;;;;;;;;;;
OMP;8;256;0,014457;0,001494;0,01596;;;;;;;;;;
OMP;8;256;0,014517;0,001499;0,016023;;;;;;;;;;
OMP;8;256;0,018491;0,005706;0,024204;;;;;;;;;;
OMP;8;256;0,01497;0,001371;0,016348;;;;;;;;;;
OMP;8;256;0,020794;0,001148;0,02195;;;;;;;;;;
OMP;8;256;0,021762;0,001609;0,023379;;;;;;;;;;
OMP;8;256;0,020429;0,00152;0,021957;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;8;512;0,039326;0,006923;0,046265;0,046339;;;;;;;;;
OMP;8;512;0,05125;0,005453;0,056717;;;;;;;;;;
OMP;8;512;0,049089;0,005128;0,054232;;;;;;;;;;
OMP;8;512;0,059445;0,009267;0,068727;;;;;;;;;;
omp;8;512;0,04256;0,005517;0,048093;;;;;;;;;;
omp;8;512;0,044628;0,00692;0,051576;;;;;;;;;;
omp;8;512;0,039521;0,005841;0,045377;;;;;;;;;;
omp;8;512;0,041681;0,005581;0,047277;;;;;;;;;;
omp;8;512;0,041053;0,005661;0,04673;;;;;;;;;;
omp;8;512;0,054835;0,008128;0,062978;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;4;16;0,000224;0,000044;0,000273;0,000171;;;;;;;;;
OMP;4;16;0,000223;0,00007;0,000304;;;;;;;;;;
OMP;4;16;0,000187;0,000068;0,000265;;;;;;;;;;
OMP;4;16;0,000146;0,000037;0,000189;;;;;;;;;;
OMP;4;16;0,00014;0,000038;0,000184;;;;;;;;;;
OMP;4;16;0,000145;0,000038;0,000188;;;;;;;;;;
OMP;4;16;0,000163;0,000041;0,00021;;;;;;;;;;
OMP;4;16;0,000199;0,000062;0,00027;;;;;;;;;;
OMP;4;16;0,000144;0,000037;0,000187;;;;;;;;;;
OMP;4;16;0,000141;0,000037;0,000184;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;4;32;0,000438;0,000054;0,000499;0,000381;;;;;;;;;
OMP;4;32;0,000586;0,000084;0,00068;;;;;;;;;;
OMP;4;32;0,000333;0,00005;0,000388;;;;;;;;;;
OMP;4;32;0,000335;0,00005;0,000391;;;;;;;;;;
OMP;4;32;0,000333;0,000051;0,00039;;;;;;;;;;
OMP;4;32;0,000434;0,00005;0,00049;;;;;;;;;;
OMP;4;32;0,000333;0,00005;0,000389;;;;;;;;;;
