Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;in. conf. de Computação Paralela;Alfa;Desvio padrão;Tamanho;;;;;;;;;;;;;;;;
pth;2;4096;1,353257;2.475.856;3.829.137;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,337013;0,373518;1.710.552;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,340611;0,347603;1.688.234;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,350369;0,362026;1.712.421;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,349380;0,347961;1.697.366;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,301192;4.335.416;9.636.632;5,308725;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,304576;1.432.057;6.736.652;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,313785;1.478.567;6.792.375;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,322229;1.457.568;6.779.820;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,293831;1.421.210;6.715.064;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,306966;1.414.063;6.721.053;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,309738;3.651.238;8.961.003;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,311220;1.467.743;6.778.988;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,308925;1.426.246;6.735.193;;;;;;;;;;;;;;;;;;;;;
pth;2;8192;5,314791;3.635.835;8.950.653;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000210;0,012831;0,013063;0,000141;0,012733;;0,059695;;;;;;;;;;;;;;;;;
pth;4;16;0,000153;0,000067;0,000234;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000149;0,000036;0,000191;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000160;0,000064;0,000235;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000166;0,000043;0,000220;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000120;0,000030;0,000160;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000100;0,000043;0,000150;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000094;0,000037;0,000138;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000125;0,000039;0,000173;;;;;;;;;;;;;;;;;;;;;
pth;4;16;0,000132;0,000060;0,000203;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000189;0,000080;0,000280;0,000210;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000139;0,000067;0,000214;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000219;0,000047;0,000274;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000239;0,000078;0,000329;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000239;0,000074;0,000324;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000174;0,000043;0,000225;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000241;0,000075;0,000327;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000196;0,000050;0,000256;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000222;0,000048;0,000276;;;;;;;;;;;;;;;;;;;;;
pth;4;32;0,000237;0,000076;0,000324;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000375;0,000100;0,000482;0,000484;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000365;0,000092;0,000464;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000662;0,000169;0,000843;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000443;0,000118;0,000570;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000378;0,000093;0,000477;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000439;0,000157;0,000607;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000370;0,000092;0,000469;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000571;0,000161;0,000744;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000566;0,000157;0,000736;;;;;;;;;;;;;;;;;;;;;
pth;4;64;0,000673;0,000096;0,000779;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,001318;0,000717;0,002045;0,001615;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,001946;0,000269;0,002222;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,002176;0,000457;0,002645;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,001268;0,000267;0,001542;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,001328;0,000268;0,001604;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,001377;0,000270;0,001656;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,002023;0,000267;0,002297;;;;;;;;;;;;;;;;;;;;;
pth;4;128;0,002190;0,000468;0,002669;;;;;;;;;;;;;;;;;;;;;
